ID,Vorname,Nachname,Jahrgangsstufe, Profilnummer, Klassennummer
1,Max,Müller,10,1,1
2,Julia,Schmidt,11,2,2
3,David,Wagner,9,1,3
4,Sarah,Fischer,12,2,1
5,Lukas,Becker,8,1,2
6,Anna Maria,Schneider,13,2,3
7,Tim,Meier,7,1,1
8,Laura,Schulz,10,2,2
9,Jonas,Keller,11,1,3
10,Lisa,Lehmann,12,2,1
11,Kevin,Koch,9,1,2
12,Marie,Richter,10,2,3
13,Paul,Wolf,11,1,1
14,Lena,Braun,12,2,2
15,Simon,Hofmann,13,1,3
16,Laura,Berger,8,2,1
17,Felix,Schäfer,7,1,2
18,Emily Sophie,Hartmann,10,2,3
19,Nico,Herrmann,11,1,1
20,Julia,Keller,12,2,2
21,David,Vogel,13,1,3
22,Sarah,Sommer,7,2,1
23,Lukas,Schmitz,8,1,2
24,Anna,Wagner,9,2,3
25,Timo,Huber,10,1,1
26,Laura,Mayer,11,2,2
27,Simon,Schuster,12,1,3
28,Julia,Frank,13,2,1
29,David,Keller,7,1,2
30,Sarah,Fuchs,8,2,3
31,Lukas,Braun,9,1,1
32,Anna,Schmidt,10,2,2
33,Tim,Richter,11,1,3
34,Laura,Müller,12,2,1
35,Jonas,Berger,13,1,2
36,Lisa,Schulz,7,2,3
37,Kevin,Meier,8,1,1
38,Marie,Wolf,9,2,2
39,Paul,Hofmann,10,1,3
40,Lena,Becker,11,2,1
41,Simon,Lehmann,12,1,2
42,Laura,Koch,13,2,3
43,Felix,Richter,7,1,1
44,Emily,Braun,8,2,2
45,Nico,Schäfer,9,1,3
46,Julia,Hartmann,10,2,1
47,David,Herrmann,11,1,2
48,Sarah,Keller,12,2,3
49,Lukas,Vogel,13,1,1
50,Anna,Sommer,7,2,2
51,Timo,Schmitz,8,1,3
52,Laura,Wagner,9,2,1
53,Simon,Huber,10,1,2
54,Julia,Mayer,11,2,3
55,David,Schuster,12,1,1
56,Sarah,Frank,13,2,2
57,Lukas,Braun,7,1,3
58,Anna,Richter,8,2,1
59,Timo,Müller,9,1,2
60,Laura,Berger,10,2,3
61,Simon Thomas,Schulz,11,1,1
62,Julia,Meier,12,2,2
63,David,Wolf,13,1,3
64,Sarah,Hofmann,7,2,1
65,Lukas,Becker,8,1,2
66,Anna,Lehmann,9,2,3
67,Tim,Koch,10,1,1
68,Laura,Schäfer,11,2,2
69,Jonas,Hartmann,12,1,3
70,Lisa,Herrmann,13,2,1
71,Kevin,Keller,7,1,2
72,Marie,Sommer,8,2,3
73,Paul,Schmitz,9,1,1
74,Lena,Huber,10,2,2
75,Simon,Mayer,11,1,3
76,Laura,Schuster,12,2,1
77,Felix,Frank,13,1,2
78,Emily,Braun,7,2,3
79,Nico,Richter,8,1,1
80,Julia,Berger,9,2,2
81,Sergio,Schulz,10,1,3
82,Sarah,Meier,11,2,1
83,Lukas,Wolf,12,1,2
84,Anna,Hofmann,13,2,3
85,Timo,Becker,7,1,1
86,Laura,Lehmann,8,2,2
87,Simon,Koch,9,1,3
88,Julia,Hartmann,10,2,1
89,David,Herrmann,11,1,2
90,Sarah,Keller,12,2,3
91,Lukas,Sommer,13,1,1
92,Anna,Schmitz,7,2,2
93,Tim,Wagner,8,1,3
94,Laura,Mayer,9,2,1
95,Felix,Schuster,10,1,2
96,Emily,Frank,11,2,3
97,Nico,Braun,12,1,1
98,Julia,Richter,13,2,2
99,David,Berger,7,1,3
100,Sarah,Schulz,8,2,1
101,Lukas,Meier,9,1,2
102,Anna,Wolf,10,2,3
103,Tim,Hofmann,11,1,1
104,Laura,Becker,12,2,2
105,Simon,Lehmann,13,1,3
106,Julia,Koch,7,2,1
107,David,Hartmann,8,1,2
108,Sarah,Herrmann,9,2,3
109,Lukas,Keller,10,1,1
110,Anna,Sommer,11,2,2
111,Timon,Schmitz,12,1,3
112,Laura,Wagner,13,2,1
113,Simon,Huber,7,1,2
114,Julia,Mayer,8,2,3
115,Tolga,Can,9,1,1
116,Sarah,Frank,10,2,2
117,Lukas,Braun,11,1,3
118,Anna,Richter,12,2,1
119,Timo,Müller,13,1,2
120,Laura Mia,Berger,7,2,3
