KÜRZEL,VORNAME, NACHNAME
Schu,Lukas,Schulz
Hof,Anna Maria,Hofmann
Schul,David,Schuster
Fis,Sarah,Fischer
Isi,Achmed,Isigan
Leh,Lisa,Lehmann
Lim,Sarah,Limposa
Sol,Laura,Solanksi
Hoff,Timo,Hoffmann
Ber,Julia,Bergedorf
Mül,Max,Müller-Baumgart
Schm,Nico,Schmidt
Schus,Emily,Schuster
Bra,Lena,Braun
Hf,Simon,Hofmann
Mei,Jonas,Meier
Ink,Marie,Inken
Broe,Paul,Brönner
Ric,Julia,Richter
Wag,David,Wagner
Koch,Laura,Koch
Maig,Kevin,Maignan
Schud,Anna Maria,Schulzendorf
Lehm,Lukas,Lehmann
Schl,Tim,Schulz
Brau,Sarah,Braun
Wolf,Laura,Wolf
vP,Felix,von Paris
Wagn,Laura,Wagner
Mue,Simon,Müller
Loc,Lena,Lochau
Fisch,Tim,Fischer
Goe,David,Gören
Wagros,Sarah,Wagner-Rosemeier
Merk,Lukas,Merkel
Koel,Julia,Koehler
Fir,Emily,Fischer
Ri,Nico,Richter
